comparison,outcome,block,order,position,label,variant,eager,elapsed_ns,checksum,status,error
first_use_aa,first_use,10,ABBA,2,B,lazy_b,0,888910,8419328,ok,
first_use_aa,first_use,10,ABBA,3,A,lazy,0,890990,8419328,ok,
first_use_aa,first_use,11,BAAB,0,B,lazy_b,0,896630,8419328,ok,
first_use_aa,first_use,11,BAAB,1,A,lazy,0,879410,8419328,ok,
first_use_aa,first_use,11,BAAB,2,A,lazy,0,909049,8419328,ok,
first_use_aa,first_use,11,BAAB,3,B,lazy_b,0,888090,8419328,ok,
steady_eager_over_lazy,steady,0,ABBA,0,A,lazy,0,68008676,25624938568,ok,
steady_eager_over_lazy,steady,0,ABBA,1,B,same_image_eager,1,61108246,25624938568,ok,
steady_eager_over_lazy,steady,0,ABBA,2,B,same_image_eager,1,61022396,25624938568,ok,
steady_eager_over_lazy,steady,0,ABBA,3,A,lazy,0,67889526,25624938568,ok,
steady_eager_over_lazy,steady,1,BAAB,0,B,same_image_eager,1,61022276,25624938568,ok,
steady_eager_over_lazy,steady,1,BAAB,1,A,lazy,0,67905816,25624938568,ok,
steady_eager_over_lazy,steady,1,BAAB,2,A,lazy,0,61026546,25624938568,ok,
steady_eager_over_lazy,steady,1,BAAB,3,B,same_image_eager,1,61064616,25624938568,ok,
steady_eager_over_lazy,steady,2,ABBA,0,A,lazy,0,64525676,25624938568,ok,
steady_eager_over_lazy,steady,2,ABBA,1,B,same_image_eager,1,61023696,25624938568,ok,
steady_eager_over_lazy,steady,2,ABBA,2,B,same_image_eager,1,61113357,25624938568,ok,
steady_eager_over_lazy,steady,2,ABBA,3,A,lazy,0,67825896,25624938568,ok,
steady_eager_over_lazy,steady,3,BAAB,0,B,same_image_eager,1,61062567,25624938568,ok,
steady_eager_over_lazy,steady,3,BAAB,1,A,lazy,0,68114776,25624938568,ok,
steady_eager_over_lazy,steady,3,BAAB,2,A,lazy,0,67831496,25624938568,ok,
steady_eager_over_lazy,steady,3,BAAB,3,B,same_image_eager,1,61124936,25624938568,ok,
steady_eager_over_lazy,steady,4,ABBA,0,A,lazy,0,67918596,25624938568,ok,
steady_eager_over_lazy,steady,4,ABBA,1,B,same_image_eager,1,61140526,25624938568,ok,
steady_eager_over_lazy,steady,4,ABBA,2,B,same_image_eager,1,61120736,25624938568,ok,
steady_eager_over_lazy,steady,4,ABBA,3,A,lazy,0,67880336,25624938568,ok,
steady_eager_over_lazy,steady,5,BAAB,0,B,same_image_eager,1,61047416,25624938568,ok,
steady_eager_over_lazy,steady,5,BAAB,1,A,lazy,0,67893086,25624938568,ok,
steady_eager_over_lazy,steady,5,BAAB,2,A,lazy,0,67923466,25624938568,ok,
steady_eager_over_lazy,steady,5,BAAB,3,B,same_image_eager,1,61181347,25624938568,ok,
steady_eager_over_lazy,steady,6,ABBA,0,A,lazy,0,67895446,25624938568,ok,
steady_eager_over_lazy,steady,6,ABBA,1,B,same_image_eager,1,61052116,25624938568,ok,
